id,date_of_last_activity,avatar,number_of_messages_sent
uid-1657897923691064054,2015-01-16,false,0
uid-1657897923691064055,2015-02-05,false,0
uid-1657897923691064056,2015-02-02,false,0
uid-1657897923691064057,2015-02-05,false,1
uid-1657897923691064058,,false,0
uid-1657897923691064059,,false,0
uid-1657897923691064060,,false,0
uid-1657897923691064061,2015-02-04,false,0
uid-1657897923691064062,2015-01-17,false,0
uid-1657897923691064063,2015-01-30,false,0
uid-1657897923691064064,2015-02-02,false,0
uid-1657897923691064065,2015-01-20,false,0
uid-1657897923691064066,2015-01-17,false,0
uid-1657897923691064067,2015-01-20,false,0
uid-1657897923691064068,,false,0
uid-1657897923691064069,2015-01-21,true,0
uid-1657897923691064070,2015-02-06,false,0
uid-1657897923691064071,2015-01-21,false,0
uid-1657897923691064072,2015-02-05,false,0
uid-1657897923691064073,2015-01-18,false,0
uid-1657897923691064074,2015-01-19,true,0
uid-1667164618187727355,2014-09-09,false,0
uid-1690703663724698944,2015-02-06,true,8
uid-1690703663724698945,2015-01-10,false,0
uid-1708282929154595205,2014-08-13,false,0
uid-1725235943194291516,,false,0
uid-1725235943194291517,2015-02-05,false,0
uid-1725235943194291518,2015-02-04,false,20
uid-1725235943194291519,2015-02-02,false,0
uid-1725235943194291520,2014-11-07,false,0
uid-1725235943194291521,2014-10-30,false,0
uid-1725235943194291522,2014-11-24,false,0
uid-1725235943194291523,2014-10-30,false,0
uid-1725235943194291524,2015-02-05,false,0
uid-1725235943194291525,2014-12-16,false,0
uid-1725235943194291526,2014-11-02,false,0
uid-1725235943194291527,2014-11-19,false,0
uid-1725235943194291528,2014-11-19,false,4
uid-1725235943194291529,2015-01-24,false,0
uid-1730563173626535475,,false,0
uid-1730563173626535476,2014-07-13,false,0
uid-1730563173626535477,2014-07-15,false,0
uid-1730563173626535478,2014-07-15,false,0
uid-1730563173626535479,2014-07-20,true,0
uid-1730563173626535480,,false,0
uid-1730563173626535481,2014-07-24,false,0
uid-1792928330058200659,,false,0
uid-1799380304538297667,2015-02-01,false,0
uid-1799380304538297668,2015-02-06,false,3
uid-1799380304538297669,2015-02-04,false,0
uid-1799380304538297670,,false,0
uid-1855068617809991261,2014-05-31,false,0
uid-1904514427512542308,,false,0
uid-1904762808672669850,2014-11-16,false,0
uid-1904762808672669851,2014-11-25,false,0
uid-1904762808672669852,2015-02-06,false,0
uid-1904762808672669853,2014-11-18,false,0
uid-1904762808672669854,2015-02-05,false,0
uid-1904762808672669855,2014-11-17,false,0
uid-1904762808672669856,2015-02-06,false,0
uid-1904762808672669857,2014-11-17,false,0
uid-1904762808672669858,2015-02-04,false,0
uid-1904762808672669859,2015-02-03,false,0
uid-1904762808672669860,2015-02-06,true,0
uid-1917035256310762348,2014-07-24,false,2
uid-1917035256310762349,2014-05-22,false,1
uid-1917035256310762350,,false,0
uid-1917035256310762351,,false,0
uid-1917035256310762352,2014-11-19,false,0
uid-1917035256310762353,2014-05-31,false,0
uid-1917035256310762354,2014-05-31,false,0
uid-1917035256310762355,2014-06-01,false,0
uid-1917035256310762356,2015-02-05,true,239
uid-1930520619170128822,2015-02-03,false,0
uid-1930520619170128823,2015-02-05,false,0
uid-1930520619170128824,2015-02-06,false,0
uid-1930520619170128825,,false,0
uid-1930520619170128826,2015-02-03,false,0
uid-1959774523483921925,2014-11-05,false,0
uid-1959774523483921926,2014-11-20,false,0
uid-1959774523483921927,2014-10-31,false,0
uid-1959774523483921928,2015-02-06,false,0
uid-1959774523483921929,2014-10-31,false,0
uid-1959774523483921930,2015-02-04,false,2
uid-1959774523483921931,2014-11-01,false,0
uid-1959774523483921932,2015-01-15,false,0
uid-1959774523483921933,2015-02-05,false,0
uid-1959774523483921934,,false,0
